,CB Link ID,Borough,Latitude,Longitude,Project Status,Active_date,Install_date,neighborhood,Census Tract (CT),IxN Corner,Location,year
83,LINK-000985,Manhattan,40.785813,-73.978293,Live,2016-05-05,2016-04-06,Upper West Side,1017100.0,NE,"(40.78581305, -73.97829312)",2016
84,LINK-012443,Manhattan,40.850248,-73.932926,Live,2018-03-09,2017-12-05,Washington Heights North,1026900.0,MIDBLOCK,"(40.8502485, -73.93292644)",2017
85,LINK-013629,Queens,40.759169,-73.91895,Live,2017-05-18,2017-04-22,Astoria,4015500.0,NW,"(40.759169, -73.91894987)",2017
86,LINK-012528,Manhattan,40.731521,-73.982765,Live,2017-02-01,2016-11-05,Gramercy,1004800.0,NW,"(40.73152105, -73.9827647)",2016
87,LINK-010890,Bronx,40.816751,-73.922955,Live,2017-03-06,2017-01-21,Melrose South-Mott Haven North,2006500.0,NE,"(40.81675132, -73.92295481)",2017
88,LINK-021927,Brooklyn,40.677222,-73.897464,Live,2018-01-05,2017-09-17,East New York,3119800.0,NW,"(40.67722165, -73.89746353)",2017
89,LINK-012825,Brooklyn,40.652771,-73.94987,Live,2017-06-09,2017-04-08,Prospect Lefferts Gardens-Wingate,3082000.0,NW,"(40.652771, -73.94987)",2017
91,LINK-011006,Manhattan,40.739156,-73.999381,Live,2019-02-14,2018-05-12,Hudson Yards-Chelsea-Flatiron-Union Square,1008100.0,SW,"(40.7391558, -73.99938138)",2018
92,LINK-012787,Queens,40.748049,-73.879386,Live,2017-12-27,2017-08-31,Elmhurst,4026901.0,SW,"(40.74804918, -73.87938648)",2017
93,LINK-007145,Manhattan,40.775999,-73.983247,Live,2016-07-21,2016-07-15,Lincoln Square,1015300.0,NE,"(40.775999, -73.983247)",2016
94,LINK-023349,Bronx,40.823926,-73.908549,Live,2018-05-31,2018-02-25,Morrisania-Melrose,2014100.0,SE,"(40.82392555, -73.90854944)",2018
95,LINK-000072,Bronx,40.861349,-73.898023,Live,2016-07-19,2016-07-01,Fordham South,2023703.0,SW,"(40.861349, -73.898023)",2016
96,LINK-000538,Manhattan,40.739719,-74.002217,Live,2016-04-07,2016-03-11,Hudson Yards-Chelsea-Flatiron-Union Square,1008100.0,NE,"(40.73971856, -74.00221656)",2016
97,LINK-001134,Queens,40.728299,-73.858076,Live,2016-11-30,2016-11-05,Forest Hills,4071306.0,SE,"(40.728299, -73.858076)",2016
98,LINK-002681,Manhattan,40.716682,-74.002253,Live,2018-02-07,2017-10-07,SoHo-TriBeCa-Civic Center-Little Italy,1003100.0,SW,"(40.716682, -74.002253)",2017
99,LINK-000871,Manhattan,40.778003,-73.954428,Live,2016-03-28,2016-03-19,Yorkville,1014601.0,SE,"(40.778003, -73.954428)",2016
100,LINK-010919,Manhattan,40.777606,-73.960947,Live,2018-05-17,2018-02-03,Upper East Side-Carnegie Hill,1014200.0,NE,"(40.77760614, -73.96094657)",2018
101,LINK-020959,Queens,40.763931,-73.922478,Live,2018-05-31,2017-12-15,Astoria,4006300.0,NE,"(40.763931, -73.922478)",2017
102,LINK-000316,Manhattan,40.75096,-73.974467,Live,2016-02-29,2016-02-07,Turtle Bay-East Midtown,1009200.0,NW,"(40.75095973, -73.97446736)",2016
103,LINK-005400,Staten Island,40.5721,-74.112674,Live,2017-02-28,2017-02-19,New Dorp-Midland Beach,5012200.0,MIDBLOCK,"(40.57210026, -74.11267359)",2017
104,LINK-012424,Manhattan,40.726304,-73.986104,Live,2017-05-30,2017-04-08,East Village,1003200.0,SE,"(40.72630382, -73.98610433)",2017
106,LINK-021224,Brooklyn,40.680426,-73.967999,Live,2018-01-08,2017-07-31,Prospect Heights,3016300.0,NW,"(40.68042562, -73.96799938)",2017
107,LINK-013356,Manhattan,40.811362,-73.95016,Live,2017-07-20,2017-04-07,Central Harlem North-Polo Grounds,1022400.0,SE,"(40.81136226, -73.95015967)",2017
108,LINK-000344,Manhattan,40.757729,-73.969615,Live,2017-05-05,2017-03-19,Turtle Bay-East Midtown,1010000.0,SW,"(40.75772905, -73.96961496)",2017
109,LINK-012636,Manhattan,40.7436,-74.003588,Live,2018-05-09,2017-12-07,Hudson Yards-Chelsea-Flatiron-Union Square,1008900.0,NW,"(40.74359974, -74.00358788)",2017
110,LINK-012661,Manhattan,40.745494,-73.990775,Live,2017-12-27,2017-09-24,Hudson Yards-Chelsea-Flatiron-Union Square,1005800.0,NE,"(40.74549407, -73.99077541)",2017
111,LINK-000858,Manhattan,40.774207,-73.957499,Live,2016-03-30,2016-03-02,Upper East Side-Carnegie Hill,1014000.0,SW,"(40.774207, -73.957499)",2016
112,LINK-000228,Manhattan,40.734222,-73.986658,Live,2017-05-22,2017-04-29,Gramercy,1005000.0,NW,"(40.73422211, -73.98665825)",2017
113,LINK-001487,Manhattan,40.79069,-73.974462,Live,2018-04-20,2018-02-04,Upper West Side,1017500.0,SE,"(40.79069, -73.974462)",2018
114,LINK-013594,Queens,40.763686,-73.915051,Live,2017-06-29,2017-05-06,Astoria,4014900.0,SE,"(40.76368606, -73.91505124)",2017
115,LINK-011014,Manhattan,40.736165,-73.982291,Live,2018-04-11,2018-01-24,Gramercy,1006400.0,NW,"(40.73616484, -73.98229109)",2018
116,LINK-013508,Queens,40.764273,-73.915958,Live,2017-06-26,2017-04-22,Astoria,4006300.0,SW,"(40.76427257, -73.9159581)",2017
117,LINK-000939,Manhattan,40.776473,-73.98243,Live,2016-07-19,2016-04-26,Lincoln Square,1015300.0,NW,"(40.77647319, -73.98242959)",2016
118,LINK-013681,Manhattan,40.780716,-73.958721,Live,2018-05-11,2018-03-04,Upper East Side-Carnegie Hill,1015001.0,SE,"(40.78071593, -73.95872117)",2018
119,LINK-011378,Manhattan,40.796825,-73.937766,Live,2017-03-31,2016-12-18,East Harlem North,1018800.0,NE,"(40.79682481, -73.93776628)",2016
120,LINK-018090,Brooklyn,40.643941,-73.95799,Live,2017-09-15,2017-03-03,Flatbush,3051602.0,SW,"(40.64394086, -73.95799026)",2017
121,LINK-010733,Manhattan,40.727284,-74.005407,Live,2020-10-06,2018-07-31,SoHo-TriBeCa-Civic Center-Little Italy,1003700.0,NE,"(40.72728365, -74.00540707)",2018
122,LINK-011189,Manhattan,40.793161,-73.970894,Live,2018-05-31,2018-03-15,Upper West Side,1018100.0,SE,"(40.79316136, -73.97089386)",2018
123,LINK-012646,Manhattan,40.765159,-73.991312,Live,2018-01-08,2017-09-23,Clinton,1013300.0,SE,"(40.76515921, -73.99131194)",2017
124,LINK-014483,Bronx,40.817446,-73.915574,Live,2016-12-28,2016-10-22,Melrose South-Mott Haven North,2007100.0,SE,"(40.817446, -73.915574)",2016
125,LINK-000783,Queens,40.703452,-73.800352,Live,2017-02-03,2016-12-20,Jamaica,4024000.0,NW,"(40.70345249, -73.80035218)",2016
126,LINK-014642,Manhattan,40.804047,-73.95214,Live,2017-01-09,2016-10-29,Central Harlem South,1021800.0,NW,"(40.80404696, -73.95213993)",2016
127,LINK-010737,Manhattan,40.732884,-74.000238,Live,2018-05-16,2018-03-10,West Village,1007100.0,SW,"(40.73288433, -74.00023841)",2018
128,LINK-010790,Manhattan,40.770517,-73.966604,Live,2018-05-17,2018-02-03,Upper East Side-Carnegie Hill,1012200.0,SW,"(40.77051657, -73.96660446)",2018
129,LINK-012769,Manhattan,40.790444,-73.969155,Live,2020-10-02,2018-05-01,Upper West Side,1017700.0,NE,"(40.79044448, -73.96915525)",2018
130,LINK-002241,Brooklyn,40.680556,-73.951381,Live,2017-04-10,2017-02-24,Bedford,3024500.0,NW,"(40.680556, -73.951381)",2017
131,LINK-011177,Manhattan,40.826707,-73.946665,Live,2018-08-01,2018-03-15,Hamilton Heights,1023300.0,NW,"(40.82670709, -73.9466648)",2018
132,LINK-000486,Manhattan,40.76694,-73.983155,Live,2016-07-21,2016-07-19,Clinton,1013900.0,NW,"(40.76693979, -73.98315529)",2016
133,LINK-014173,Manhattan,40.799472,-73.963183,Live,2018-05-31,2018-01-26,Morningside Heights,1019300.0,NW,"(40.79947246, -73.9631832)",2018
134,LINK-012297,Manhattan,40.760946,-73.961397,Live,2018-06-15,2018-04-18,Lenox Hill-Roosevelt Island,1011000.0,SW,"(40.76094634, -73.96139743)",2018
135,LINK-011874,Bronx,40.84873,-73.91147,Live,2017-07-13,2017-05-10,Mount Hope,2023301.0,NE,"(40.84873, -73.91147)",2017
137,LINK-018200,Queens,40.746089,-73.945246,Live,2017-03-29,2017-03-11,Hunters Point-Sunnyside-West Maspeth,4001900.0,NE,"(40.74608863, -73.94524605)",2017
138,LINK-010787,Manhattan,40.76036,-73.961663,Live,2018-03-14,2017-10-17,Lenox Hill-Roosevelt Island,1011000.0,NW,"(40.76035998, -73.96166314)",2017
139,LINK-021527,Brooklyn,40.655438,-74.00305,Live,2017-08-22,2017-07-01,Sunset Park West,3008400.0,NE,"(40.6554376, -74.00305032)",2017
140,LINK-005418,Staten Island,40.577391,-74.102671,Live,2018-07-19,2018-06-29,New Dorp-Midland Beach,5011202.0,SE,"(40.57739083, -74.10267054)",2018
141,LINK-014655,Manhattan,40.806249,-73.950095,Live,2017-01-11,2016-10-15,Central Harlem South,1022000.0,SE,"(40.80624896, -73.95009459)",2016
142,LINK-010174,Manhattan,40.764254,-73.971198,Live,2017-05-08,2016-11-19,Upper East Side-Carnegie Hill,1011401.0,SW,"(40.76425414, -73.97119784)",2016
143,LINK-013345,Manhattan,40.817057,-73.946012,Live,2018-03-13,2017-10-28,Central Harlem North-Polo Grounds,1022800.0,SE,"(40.81705699, -73.94601241)",2017
144,LINK-014063,Queens,40.695256,-73.84284,Live,2017-06-26,2017-06-03,Richmond Hill,4002600.0,NE,"(40.6952564, -73.84283995)",2017
146,LINK-000251,Manhattan,40.750717,-73.974088,Live,2016-03-09,2016-02-07,Turtle Bay-East Midtown,1008800.0,NE,"(40.75071654, -73.97408803)",2016
147,LINK-001154,Queens,40.743063,-73.920682,Live,2017-02-02,2016-11-19,Hunters Point-Sunnyside-West Maspeth,4018300.0,NW,"(40.74306271, -73.9206815)",2016
148,LINK-021524,Brooklyn,40.658808,-73.999532,Live,2017-08-22,2017-07-15,Sunset Park West,3010100.0,NE,"(40.658808, -73.999532)",2017
149,LINK-011851,Bronx,40.847406,-73.899948,Live,2018-01-12,2017-10-20,Mount Hope,2023100.0,SW,"(40.84740591, -73.89994835)",2017
150,LINK-010340,Queens,40.764902,-73.917303,Live,2018-04-06,2017-08-05,Astoria,4006300.0,SE,"(40.76490229, -73.91730276)",2017
151,LINK-018045,Queens,40.72785,-73.856848,Live,2017-04-10,2017-03-04,Forest Hills,4071306.0,SW,"(40.72785, -73.856848)",2017
152,LINK-012938,Brooklyn,40.708922,-73.94339,Live,2017-05-23,2017-04-28,Bushwick South,3049300.0,NE,"(40.70892202, -73.94338965)",2017
153,LINK-021919,Brooklyn,40.683506,-73.872079,Live,2017-11-21,2017-09-29,Cypress Hills-City Line,3118400.0,SE,"(40.683506, -73.872079)",2017
154,LINK-019901,Queens,40.743024,-73.882923,Live,2017-08-24,2017-08-05,Elmhurst,4026902.0,NW,"(40.74302376, -73.8829233)",2017
155,LINK-012242,Manhattan,40.723013,-74.006771,Live,2019-01-17,2018-08-02,SoHo-TriBeCa-Civic Center-Little Italy,1003700.0,MIDBLOCK,"(40.72301338, -74.00677065)",2018
156,LINK-000361,Manhattan,40.760135,-73.967774,Live,2016-03-18,2016-02-27,Turtle Bay-East Midtown,1011203.0,SW,"(40.76013485, -73.9677744)",2016
157,LINK-001689,Manhattan,40.807508,-73.964488,Live,2016-09-06,2016-08-13,Morningside Heights,1020500.0,NW,"(40.807508, -73.964488)",2016
158,LINK-000830,Manhattan,40.765902,-73.96318,Live,2017-06-05,2017-04-08,Lenox Hill-Roosevelt Island,1011800.0,NE,"(40.76590165, -73.96318025)",2017
159,LINK-001690,Manhattan,40.807296,-73.964646,Live,2017-03-13,2017-02-11,Morningside Heights,1020500.0,SW,"(40.80729581, -73.96464555)",2017
160,LINK-021279,Brooklyn,40.721383,-73.960352,Live,2018-02-02,2017-12-08,North Side-South Side,3055700.0,NE,"(40.72138255, -73.96035235)",2017
161,LINK-000634,Manhattan,40.743229,-73.981797,Live,2017-05-08,2017-01-28,Murray Hill-Kips Bay,1007200.0,NE,"(40.743229, -73.981797)",2017
162,LINK-013167,Manhattan,40.801001,-73.961448,Live,2018-02-28,2017-12-12,Morningside Heights,1019300.0,SW,"(40.80100105, -73.96144841)",2017
163,LINK-000892,Manhattan,40.785818,-73.949031,Live,2016-03-23,2016-03-05,East Harlem South,1015802.0,SW,"(40.78581769, -73.94903127)",2016
164,LINK-003912,Manhattan,40.798477,-73.967265,Live,2017-06-27,2017-04-07,Upper West Side,1019100.0,SW,"(40.79847664, -73.96726529)",2017
165,LINK-000051,Brooklyn,40.68539,-73.994526,Live,2017-11-21,2017-08-10,Carroll Gardens-Columbia Street-Red Hook,3006700.0,SW,"(40.68538976, -73.9945262)",2017
166,LINK-000240,Manhattan,40.739531,-73.982889,Live,2016-05-17,2016-04-30,Gramercy,1006800.0,SW,"(40.739531, -73.982889)",2016
167,LINK-018206,Queens,40.743382,-73.950806,Live,2018-05-30,2017-03-11,Hunters Point-Sunnyside-West Maspeth,4000700.0,SW,"(40.74338234, -73.95080577)",2017
169,LINK-020833,Queens,40.753718,-73.932216,Live,2018-02-12,2017-09-16,Queensbridge-Ravenswood-Long Island City,4003100.0,NE,"(40.75371822, -73.93221564)",2017
170,LINK-001676,Manhattan,40.805923,-73.965081,Live,2016-07-01,2016-05-27,Morningside Heights,1019900.0,SE,"(40.805923, -73.965081)",2016
171,LINK-010860,Manhattan,40.756879,-73.963818,Live,2018-03-06,2017-10-20,Turtle Bay-East Midtown,1010601.0,SE,"(40.75687875, -73.96381797)",2017
172,LINK-010177,Manhattan,40.758689,-73.965589,Live,2018-04-04,2017-10-28,Turtle Bay-East Midtown,1010800.0,NE,"(40.75868871, -73.96558891)",2017
173,LINK-000045,Brooklyn,40.688851,-73.980613,Live,2017-01-20,2016-11-13,Fort Greene,3003300.0,NE,"(40.688851, -73.980613)",2016
174,LINK-011789,Bronx,40.820102,-73.912838,Live,2018-01-12,2017-10-20,Melrose South-Mott Haven North,2007100.0,NE,"(40.82010249, -73.91283823)",2017
175,LINK-010785,Manhattan,40.725004,-73.987039,Live,2018-05-17,2018-03-10,East Village,1003200.0,SE,"(40.72500355, -73.98703948)",2018
176,LINK-020572,Bronx,40.822112,-73.914849,Live,2018-04-25,2018-02-25,Melrose South-Mott Haven North,2006900.0,SE,"(40.82211198, -73.91484908)",2018
177,LINK-010610,Manhattan,40.785774,-73.972463,Live,2018-04-30,2018-03-14,Upper West Side,1016900.0,NE,"(40.78577388, -73.97246279)",2018
178,LINK-000899,Manhattan,40.791481,-73.944895,Live,2016-03-23,2016-02-22,East Harlem South,1017200.0,SW,"(40.79148064, -73.94489482)",2016
179,LINK-000266,Manhattan,40.740041,-73.982424,Live,2016-02-01,2016-01-29,Gramercy,1006800.0,SW,"(40.74004081, -73.98242356)",2016
